handle,nombre,bando
ivancepedacast,Iván Cepeda — Pacto Histórico,pacto
petrogustavo,Gustavo Petro — Pacto Histórico,pacto
mafecarrascal,María Fernanda Carrascal — Pacto,pacto
gustavobolivar,Gustavo Bolívar — Pacto,pacto
susanamuhamad,Susana Muhamad — Pacto,pacto
abelardodelaesp,Abelardo de la Espriella — campaña,derecha
alvarouribevel,Álvaro Uribe — Centro Democrático,derecha
VoceroDerecha,Vocero de derecha (demo),derecha
CampanaDerecha,Cuenta de campaña derecha (demo),derecha
MedioAfin,Medio afín (demo),derecha
InfluencerDer,Influencer de derecha (demo),derecha
